Word,Relative Frequency,Minimum Gap,Count
eight,2.074452,2037,2
funny,2.074452,71,2
track,2.074452,5391,2
st,2.067887,739,3
though,2.067887,199,6
would,2.049358,7,35
such,2.045973,4,13
able,2.024326,34,5
however,2.006214,127,7
saw,1.989201,215,4
see,1.988017,5,23
mine,1.980159,2931,2
visit,1.980159,2694,2
us,1.980159,21,20
miss,1.968230,2507,3
what,1.951281,4,43
below,1.944799,4131,2
risk,1.944799,3719,2
tell,1.927588,95,6
we,1.914534,4,61
earth,1.894065,5716,2
huge,1.894065,4417,2
success,1.894065,4300,2
enough,1.883148,24,6
yet,1.883148,32,6
city,1.873123,125,7
have,1.868220,6,88
whose,1.861688,3738,2
writing,1.861688,137,2
case,1.840711,248,6
clear,1.835540,1238,3
end,1.818935,3,8
found,1.818935,474,8
events,1.815146,76,2
our,1.815146,4,23
seven,1.815146,2975,2
walk,1.815146,2816,2
right,1.791262,38,15
poor,1.770874,3198,2
written,1.770874,140,2
was,1.762970,4,107
again,1.739062,191,8
complete,1.728710,2063,2
as,1.701121,2,92
it,1.699025,3,139
fact,1.695078,2,4
james,1.688508,932,2
led,1.688508,4435,2
white,1.680690,73,5
that,1.676340,1,157
building,1.675519,2342,3
near,1.675519,417,3
should,1.672089,36,15
why,1.663706,4,13
some,1.654310,6,24
forward,1.650132,2164,2
seen,1.645147,4,5
few,1.641840,139,6
over,1.633631,18,18
young,1.619461,33,4
amount,1.613463,2813,2
size,1.613463,2995,2
you,1.607972,2,141
once,1.606324,330,5
name,1.605534,9,6
among,1.601599,1101,3
official,1.578387,207,2
away,1.567032,559,6
age,1.563283,72,3
third,1.563283,46,3
turn,1.563283,484,3
whether,1.563283,20,3
either,1.526758,2745,3
police,1.526758,140,3
black,1.512621,323,4
brought,1.502189,5002,2
longer,1.502189,1795,2
ask,1.491900,1824,3
house,1.486084,24,7
good,1.485119,24,18
answer,1.471740,2136,2
finally,1.471740,1115,2
gold,1.471740,19,2
gone,1.471740,257,2
two,1.469404,18,17
months,1.458599,1482,3
your,1.445691,3,45
after,1.435231,3,17
ever,1.429874,399,6
past,1.426752,538,3
most,1.415814,6,13
say,1.403463,30,10
having,1.399855,195,5
set,1.399855,314,5
bit,1.396266,241,3
saying,1.396266,2415,3
own,1.386111,74,7
knew,1.378592,2589,2
but,1.377300,15,54
than,1.371443,58,17
else,1.361359,133,3
into,1.350806,6,16
something,1.348715,65,8
account,1.344552,7502,2
especially,1.344552,2228,2
at,1.326034,3,61
find,1.325845,138,7
so,1.316118,4,40
not,1.311350,5,59
any,1.303181,12,14
coming,1.301698,1159,3
problem,1.301698,4112,3
four,1.285059,381,4
all,1.283215,16,39
fine,1.281279,2752,2
running,1.281279,2417,2
court,1.271308,1137,3
often,1.271308,1468,3
single,1.271308,541,3
cost,1.251825,687,2
held,1.251825,3142,2
main,1.251825,3818,2
were,1.243250,5,25
out,1.225223,21,27
across,1.223694,1348,2
gave,1.223694,6053,2
gets,1.223694,5101,2
outside,1.223694,1695,2
know,1.210097,10,14
when,1.210097,43,26
other,1.201752,36,16
where,1.197996,17,11
chance,1.196799,5831,2
within,1.188095,466,3
and,1.182317,2,279
home,1.180126,119,7
long,1.180126,32,7
look,1.180126,113,7
through,1.175803,127,8
been,1.171062,14,20
with,1.169077,4,76
here,1.167296,57,10
do,1.166879,6,24
has,1.163555,7,25
story,1.158604,1062,3
an,1.156553,3,36
up,1.155766,9,26
only,1.155093,123,14
one,1.144465,19,31
better,1.136439,240,6
together,1.134466,2269,3
a,1.131890,3,238
them,1.124219,4,16
called,1.119884,462,4
easy,1.117013,555,2
west,1.117013,3070,2
first,1.097530,12,13
let,1.094560,131,4
living,1.089087,2661,2
much,1.089087,72,10
three,1.083669,93,6
open,1.081875,709,3
many,1.071673,13,8
play,1.070356,16,4
no,1.069639,1,22
minutes,1.067733,1795,2
give,1.061489,100,5
place,1.061489,62,5
time,1.061162,2,19
line,1.057366,40,3
order,1.057366,209,3
while,1.052985,195,7
made,1.047199,180,8
still,1.047199,267,8
reason,1.042189,5603,2
soon,1.042189,6472,2
off,1.023819,12,8
short,1.017839,444,2
stay,1.017839,1467,2
use,1.011536,129,6
now,1.009750,37,14
will,1.004123,7,26
is,0.996003,2,107
late,0.994600,211,2
leave,0.994600,479,2
north,0.994600,3072,2
another,0.990079,555,5
music,0.987088,177,3
happy,0.972399,357,2
wait,0.972399,7613,2
of,0.971935,2,224
way,0.960959,12,9
work,0.955340,81,8
keep,0.953249,7,4
be,0.953172,5,54
close,0.951168,718,2
comes,0.951168,2894,2
always,0.947032,744,5
who,0.944870,41,19
point,0.941574,185,3
the,0.936980,2,462
playing,0.930844,4110,2
sure,0.930844,38,4
understand,0.930844,2634,2
to,0.923093,2,228
already,0.920356,2025,3
from,0.918200,9,36
may,0.912324,15,8
against,0.909468,644,4
along,0.907573,506,2
anyone,0.907573,3418,2
pretty,0.907573,672,2
remember,0.907573,5288,2
for,0.907573,2,85
before,0.895842,415,7
almost,0.889051,138,2
known,0.889051,2024,2
lost,0.889051,60,2
taking,0.889051,3515,2
looking,0.878296,40,3
top,0.878296,2173,3
in,0.872441,3,149
become,0.867799,3226,2
body,0.867799,2878,2
true,0.867799,8216,2
given,0.847539,121,2
thing,0.829781,1263,4
ago,0.828203,5942,2
they,0.827155,2,24
those,0.822988,49,6
really,0.817107,207,7
think,0.816816,179,9
early,0.809730,2488,2
more,0.808493,79,17
got,0.803754,623,6
least,0.792064,3933,2
take,0.785400,82,6
about,0.781019,42,18
help,0.775151,419,4
money,0.747657,648,3
between,0.739618,207,4
or,0.721873,3,23
country,0.721250,2948,2
thank,0.721250,3118,2
great,0.717449,1379,5
go,0.712487,258,7
american,0.704911,115,2
less,0.704911,4467,2
says,0.704911,20,2
if,0.701446,18,19
how,0.688503,16,11
call,0.672276,2870,2
without,0.666788,2429,3
next,0.652148,3021,3
just,0.647784,12,16
by,0.643443,4,27
hard,0.642529,3617,2
make,0.635301,5,7
change,0.627716,5932,2
full,0.627716,721,2
told,0.627716,279,2
this,0.626102,5,38
going,0.625194,160,5
under,0.608429,1207,3
years,0.597087,164,5
are,0.594048,3,30
back,0.594048,667,6
does,0.594048,383,3
high,0.581363,3,3
doing,0.547280,5290,2
real,0.547280,260,2
days,0.535178,3269,2
can,0.529417,9,14
on,0.522440,3,39
same,0.517791,5,3
their,0.508919,9,10
family,0.476625,1284,2
please,0.476625,14,2
each,0.444525,6249,2
also,0.421582,106,6
life,0.421039,82,3
during,0.414890,3506,2
these,0.396032,63,4
want,0.396032,70,4
its,0.394597,20,5
old,0.387576,4199,2
being,0.366696,304,3
too,0.366696,17,3
both,0.353027,1129,2
like,0.339016,17,8
even,0.334418,40,3
new,0.305923,16,5
because,0.305352,13,3
year,0.238835,1937,2
need,0.233459,2364,2
get,0.171061,219,3
sarasate,1.62e-08,,1
omne,2.45e-08,,1
commonplaces,2.45e-08,,1
uncongenial,2.57e-08,,1
overtopped,3.16e-08,,1
unfeigned,3.47e-08,,1
greatcoat,4.07e-08,,1
clinked,4.17e-08,,1
astuteness,5.5e-08,,1
loftily,5.62e-08,,1
tramped,5.89e-08,,1
aldersgate,6.03e-08,,1
unacquainted,6.61e-08,,1
imperilled,6.76e-08,,1
gloomily,6.92e-08,,1
introspect,7.41e-08,,1
sholto,7.59e-08,,1
poky,7.76e-08,,1
planked,8.13e-08,,1
languor,8.32e-08,,1
magnifico,8.51e-08,,1
buttoning,8.91e-08,,1
trooped,9.33e-08,,1
oppressively,9.33e-08,,1
exactness,9.77e-08,,1
snigger,1.05e-07,,1
tobacconist,1.07e-07,,1
hansom,1.07e-07,,1
blandly,1.12e-07,,1
recommence,1.15e-07,,1
quitted,1.15e-07,,1
askance,1.26e-07,,1
wriggled,1.32e-07,,1
protruded,1.35e-07,,1
conundrums,1.45e-07,,1
rueful,1.48e-07,,1
clattered,1.48e-07,,1
carre,1.55e-07,,1
compunction,1.55e-07,,1
predominated,1.66e-07,,1
graver,1.86e-07,,1
puckered,1.91e-07,,1
smasher,1.91e-07,,1
manufactory,1.95e-07,,1
ejaculated,2.04e-07,,1
partie,2.14e-07,,1
serenely,2.19e-07,,1
improvisations,2.24e-07,,1
flaubert,2.24e-07,,1
wrung,2.29e-07,,1
brassy,2.34e-07,,1
weedy,2.34e-07,,1
ascertaining,2.34e-07,,1
forefinger,2.4e-07,,1
subduing,2.4e-07,,1
florid,2.45e-07,,1
minutely,2.45e-07,,1
